player_id,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,conference,games_played,tackles,tackles_for_loss,sacks,forced_fumbles,arm_length,hand_size,5year_approx_value,40yd_done,Vertical_done,Bench_done,Broad Jump_done,3Cone_done,Shuttle_done
11,Cliff Avril,EDGE,Purdue,75,253,4.51,32.5,27.0,117.0,6.9,4.51,Power 5,37,4.243243243243243,0.8783783783783784,0.33783783783783783,0.13513513513513514,34.625,9.75,28.0,1,1,1,1,1,1
24,Kroy Biermann,EDGE,Montana,75,246,4.85,31.5,29.0,112.0,7.08,4.56,FCS,52,4.230769230769231,0.8653846153846154,0.6153846153846154,0.17307692307692307,31.5,9.75,18.0,1,1,1,1,1,1
54,Calais Campbell,EDGE,Miami (FL),80,290,5.04,29.5,16.0,111.0,7.45,4.69,Power 5,36,3.5833333333333335,1.0833333333333333,0.5416666666666666,0.1388888888888889,35.75,9.5,32.0,1,1,1,1,1,1
72,Angelo Craig,EDGE,Cincinnati,76,252,5.07,30.5,21.0,118.0,7.208514851485148,4.396206896551725,Power 5,34,2.2941176470588234,0.5,0.20588235294117646,0.0,33.375,9.5,0.0,1,1,1,1,0,0
92,Chris Ellis,EDGE,Virginia Tech,76,263,4.71,27.0,24.088372093023256,109.0,7.64,4.65,Power 5,39,3.3846153846153846,0.717948717948718,0.48717948717948717,0.1282051282051282,32.75,9.5,2.0,1,1,0,1,1,1
111,Vernon Gholston,EDGE,Ohio State,75,266,4.65,35.5,37.0,125.0,7.12,4.4,Power 5,31,2.806451612903226,0.9838709677419355,0.7258064516129032,0.0,34.0,10.0,6.0,1,1,1,1,1,1
132,Chris Harrington,EDGE,Texas A&M,76,264,4.84,33.55744680851064,21.0,117.0,7.208514851485148,4.396206896551725,Power 5,37,3.8378378378378377,0.7162162162162162,0.36486486486486486,0.10810810810810811,33.5,9.625,0.0,1,0,1,1,0,0
135,Derrick Harvey,EDGE,Florida,77,271,4.84,28.5,31.0,113.0,7.27,4.36,Power 5,36,2.5,0.875,0.5694444444444444,0.05555555555555555,33.5,10.25,15.0,1,1,1,1,1,1
151,Marcus Howard,EDGE,Georgia,72,237,4.45,34.5,27.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,39,1.9487179487179487,0.3717948717948718,0.32051282051282054,0.10256410256410256,32.5,9.5,1.0,1,1,1,0,0,0
155,Kenny Iwebema,EDGE,Iowa,76,274,4.91,29.0,26.0,109.0,7.62,4.75,Power 5,41,2.5121951219512195,0.4878048780487805,0.32926829268292684,0.07317073170731707,33.25,9.0,2.0,1,1,1,1,1,1
159,Lawrence Jackson,EDGE,USC,76,271,4.82,31.0,31.0,108.0,7.08,4.4,Power 5,52,2.8461538461538463,0.7788461538461539,0.47115384615384615,0.1346153846153846,33.5,9.625,16.0,1,1,1,1,1,1
170,Jason Jones,EDGE,East. Michigan,77,273,4.76,25.5,18.0,123.0,7.29,4.32,Group of 5,45,3.8666666666666667,1.1111111111111112,0.3111111111111111,0.06666666666666667,36.375,9.375,18.0,1,1,1,1,1,1
181,Kendall Langford,EDGE,Hampton,77,287,4.95,27.0,24.0,114.0,7.72,4.69,FCS,47,5.0212765957446805,1.202127659574468,0.5,0.19148936170212766,33.875,8.375,32.0,1,1,1,1,1,1
190,Chris Long,EDGE,Virginia,75,272,4.75,34.0,24.088372093023256,124.0,7.02,4.21,Power 5,37,4.918918918918919,0.9864864864864865,0.5405405405405406,0.08108108108108109,32.75,10.25,33.0,1,1,0,1,1,1
209,Phillip Merling,EDGE,Clemson,76,276,4.73,33.55744680851064,17.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,38,2.9210526315789473,0.6842105263157895,0.3026315789473684,0.13157894736842105,33.5,10.25,6.0,1,0,1,0,0,0
281,Bryan Smith,EDGE,McNeese State,74,231,4.74,32.5,17.0,120.0,7.22,4.4,FCS,44,3.25,0.9204545454545454,0.6363636363636364,0.13636363636363635,33.25,9.75,1.0,1,1,1,1,1,1
304,Jeremy Thompson,EDGE,Wake Forest,76,264,4.75,32.0,25.0,117.0,6.97,4.23,Power 5,46,2.0869565217391304,0.3804347826086957,0.16304347826086957,0.06521739130434782,35.375,10.0,1.0,1,1,1,1,1,1
335,Robert Ayers,EDGE,Tennessee,75,272,4.77,29.5,18.0,102.0,7.56,4.51,Power 5,48,2.3541666666666665,0.65625,0.1875,0.0,33.0,10.0,16.0,1,1,1,1,1,1
