Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Conference,games_played,tackles,tackles_for_loss,sacks,forced_fumbles,arm_length,hand_size,40yd_done,Vertical_done,Bench_done,Broad Jump_done,3Cone_done,Shuttle_done
David Bailey,EDGE,Texas Tech,76,251,4.5,35.0,26.333333333333332,129.0,6.95,4.43,Power 5,46,3.5434782608695654,0.9130434782608695,0.6304347826086957,0.21739130434782608,33.75,10.25,1,1,0,1,0,0
Rueben Bain,EDGE,Miami,74,263,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,38,3.1842105263157894,0.881578947368421,0.5394736842105263,0.10526315789473684,30.875,9.125,0,0,0,0,0,0
Jaishawn Barham,EDGE,Michigan,76,240,4.64,33.0,26.333333333333332,123.0,6.95,4.43,Power 5,48,4.020833333333333,0.4791666666666667,0.25,0.041666666666666664,32.375,10.25,1,1,0,1,0,0
Keyron Crawford,EDGE,Auburn,76,253,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,47,2.4680851063829787,0.5106382978723404,0.24468085106382978,0.06382978723404255,32.0,9.0,0,0,0,0,0,0
Caden Curry,EDGE,Ohio St.,75,257,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,54,2.0555555555555554,0.46296296296296297,0.28703703703703703,0.05555555555555555,30.125,9.375,0,0,0,0,0,0
Dani Dennis-Sutton,EDGE,Penn St.,78,256,4.63,39.5,26.333333333333332,131.0,6.9,4.43,Power 5,55,2.309090909090909,0.6272727272727273,0.42727272727272725,0.12727272727272726,33.5,10.125,1,1,0,1,1,0
Logan Fano,EDGE,Utah,77,257,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,28,3.3214285714285716,0.6428571428571429,0.375,0.10714285714285714,31.375,9.375,0,0,0,0,0,0
Keldric Faulk,EDGE,Auburn,78,276,4.688000000000001,35.0,26.333333333333332,117.0,6.95,4.43,Power 5,37,2.945945945945946,0.527027027027027,0.2702702702702703,0.02702702702702703,34.375,9.875,0,1,0,1,0,0
Romello Height,EDGE,Texas Tech,75,239,4.64,39.0,26.333333333333332,125.0,6.95,4.43,Power 5,50,2.22,0.54,0.33,0.08,32.25,9.5,1,1,0,1,0,0
Cashius Howell,EDGE,Texas A&M,75,253,4.59,32.5,26.333333333333332,115.0,6.95,4.43,Power 5,56,2.267857142857143,0.6339285714285714,0.48214285714285715,0.05357142857142857,30.25,9.25,1,1,0,1,0,0
Aidan Hubbard,EDGE,Northwestern,77,260,4.688000000000001,36.205882352941174,21.0,122.0,6.95,4.43,Power 5,47,2.234042553191489,0.5638297872340425,0.43617021276595747,0.02127659574468085,32.0,9.125,0,0,1,0,0,0
Quintayvious Hutchins,EDGE,Boston Col.,75,233,4.74,37.0,26.333333333333332,122.0,6.95,4.43,Power 5,43,1.6744186046511629,0.20930232558139536,0.12790697674418605,0.023255813953488372,32.625,9.5,1,1,0,0,0,0
Gabe Jacas,EDGE,Illinois,76,260,4.688000000000001,36.205882352941174,30.0,122.0,6.95,4.43,Power 5,50,3.66,0.71,0.54,0.14,33.0,10.0,0,0,1,0,0,0
Joshua Josephs,EDGE,Tennessee,75,242,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,48,2.1666666666666665,0.4583333333333333,0.19791666666666666,0.125,34.25,10.0,0,0,0,0,0,0
Vincent Anthony Jr.,EDGE,Duke,78,258,4.84,32.5,26.333333333333332,123.0,6.95,4.43,Power 5,49,2.1020408163265305,0.5918367346938775,0.30612244897959184,0.02040816326530612,34.125,10.0,1,1,0,1,0,0
George Gumbs Jr.,EDGE,Florida,76,245,4.66,41.0,26.333333333333332,121.0,7.0,4.43,Power 5,46,2.130434782608696,0.45652173913043476,0.2391304347826087,0.043478260869565216,33.625,9.0,1,1,0,1,1,0
Marvin Jones Jr.,EDGE,Oklahoma,77,245,4.69,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,49,1.2653061224489797,0.336734693877551,0.16326530612244897,0.04081632653061224,33.125,9.25,1,0,0,0,0,0
Nyjalik Kelly,EDGE,Central Florida,77,256,4.88,37.0,26.333333333333332,119.0,6.95,4.43,Power 5,40,2.95,0.5625,0.3125,0.125,35.125,10.375,1,1,0,1,0,0
Malachi Lawrence,EDGE,Central Florida,76,253,4.52,40.0,26.333333333333332,130.0,6.95,4.43,Power 5,39,1.8461538461538463,0.717948717948718,0.5128205128205128,0.07692307692307693,33.625,9.25,1,1,0,1,0,0
Max Llewellyn,EDGE,Iowa,78,258,4.81,32.5,26.333333333333332,115.0,6.95,4.43,Power 5,43,1.4883720930232558,0.47674418604651164,0.3372093023255814,0.06976744186046512,32.25,9.0,1,1,0,1,0,0
Anthony Lucas,EDGE,USC,78,256,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,39,1.8717948717948718,0.20512820512820512,0.07692307692307693,0.02564102564102564,33.5,10.25,0,0,0,0,0,0
Akheem Mesidor,EDGE,Miami,75,259,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,65,3.2,0.8076923076923077,0.5461538461538461,0.07692307692307693,32.125,10.0,0,0,0,0,0,0
Derrick Moore,EDGE,Michigan,76,255,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,53,1.7924528301886793,0.46226415094339623,0.39622641509433965,0.05660377358490566,33.375,9.125,0,0,0,0,0,0
Trey Moore,EDGE,Texas,74,243,4.54,38.5,26.333333333333332,120.0,6.95,4.43,Group of 5,57,3.0701754385964914,0.8771929824561403,0.5350877192982456,0.08771929824561403,31.625,10.5,1,1,0,1,0,1
Labbeus Overton,EDGE,Alabama,75,274,4.87,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,49,2.693877551020408,0.24489795918367346,0.14285714285714285,0.02040816326530612,33.25,10.625,1,0,0,0,0,0
Tomarrion Parker,EDGE,Clemson,76,263,4.68,34.0,26.333333333333332,120.0,6.95,4.43,Power 5,39,3.230769230769231,1.064102564102564,0.5512820512820513,0.15384615384615385,33.125,9.5,1,1,0,1,0,0
Patrick Payton,EDGE,LSU,77,260,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,53,2.7169811320754715,0.6886792452830188,0.32075471698113206,0.05660377358490566,33.5,10.0,0,0,0,0,0,0
Jack Pyburn,EDGE,LSU,76,258,4.688000000000001,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,41,3.2195121951219514,0.25609756097560976,0.07317073170731707,0.024390243902439025,30.875,10.0,0,0,0,0,0,0
Arvell Reese,EDGE,Ohio St.,76,241,4.46,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,36,3.111111111111111,0.375,0.19444444444444445,0.0,32.5,9.5,1,0,0,0,0,0
Mason Reiger,EDGE,Wisconsin,77,251,4.78,40.0,26.333333333333332,125.0,6.95,4.43,Power 5,44,1.8636363636363635,0.5113636363636364,0.29545454545454547,0.09090909090909091,32.625,10.375,1,1,0,1,0,0
Tyreak Sapp,EDGE,Florida,74,273,4.688000000000001,36.205882352941174,28.0,122.0,6.95,4.43,Power 5,49,2.5510204081632653,0.4387755102040816,0.20408163265306123,0.08163265306122448,32.0,9.5,0,0,1,0,0,0
R Mason Thomas,EDGE,Oklahoma,74,241,4.67,36.205882352941174,26.333333333333332,122.0,6.95,4.43,Power 5,42,1.5476190476190477,0.6071428571428571,0.40476190476190477,0.09523809523809523,31.625,8.875,1,0,0,0,0,0
Nadame Tucker,EDGE,Western Michigan,74,247,4.73,33.5,26.333333333333332,119.0,6.95,4.43,Group of 5,26,2.5,0.8653846153846154,0.5576923076923077,0.15384615384615385,31.375,9.0,1,1,0,1,0,0
Wesley Williams,EDGE,Duke,76,256,4.89,35.5,26.333333333333332,120.0,6.95,4.43,Power 5,41,3.1951219512195124,0.7073170731707317,0.2682926829268293,0.024390243902439025,31.875,9.5,1,1,0,1,0,0
