Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Conference,games_played,tackles,tackles_for_loss,sacks,forced_fumbles,arm_length,hand_size,40yd_done,Vertical_done,Bench_done,Broad Jump_done,3Cone_done,Shuttle_done
David Bailey,EDGE,Texas Tech,6-4,251,4.5,35,,129,,,Power 5,46,163,42,29,10,33 3/4,10 1/4,,,,,,
Rueben Bain,EDGE,Miami,6-2,263,,,,,,,Power 5,38,121,33.5,20.5,4,30 7/8,9 1/8,,,,,,
Jaishawn Barham,EDGE,Michigan,6-4,240,4.64,33,,123,,,Power 5,48,193,23,12,2,32 3/8,10 1/4,,,,,,
Keyron Crawford,EDGE,Auburn,6-4,253,,,,,,,Power 5,47,116,24,11.5,3,32,9,,,,,,
Caden Curry,EDGE,Ohio St.,6-3,257,,,,,,,Power 5,54,111,25,15.5,3,30 1/8,9 3/8,,,,,,
Dani Dennis-Sutton,EDGE,Penn St.,6-6,256,4.63,39.5,,131,6.9,,Power 5,55,127,34.5,23.5,7,33 1/2,10 1/8,,,,,,
Logan Fano,EDGE,Utah,6-5,257,,,,,,,Power 5,28,93,18,10.5,3,31 3/8,9 3/8,,,,,,
Keldric Faulk,EDGE,Auburn,6-6,276,,35,,117,,,Power 5,37,109,19.5,10,1,34 3/8,9 7/8,,,,,,
Romello Height,EDGE,Texas Tech,6-3,239,4.64,39,,125,,,Power 5,50,111,27,16.5,4,32 1/4,9 1/2,,,,,,
Cashius Howell,EDGE,Texas A&M,6-3,253,4.59,32.5,,115,,,Power 5,56,127,35.5,27,3,30 1/4,9 1/4,,,,,,
Aidan Hubbard,EDGE,Northwestern,6-5,260,,,21,,,,Power 5,47,105,26.5,20.5,1,32,9 1/8,,,,,,
Quintayvious Hutchins,EDGE,Boston Col.,6-3,233,4.74,37,,,,,Power 5,43,72,9,5.5,1,32 5/8,9 1/2,,,,,,
Gabe Jacas,EDGE,Illinois,6-4,260,,,30,,,,Power 5,50,183,35.5,27,7,33,10,,,,,,
Joshua Josephs,EDGE,Tennessee,6-3,242,,,,,,,Power 5,48,104,22,9.5,6,34 1/4,10,,,,,,
Vincent Anthony Jr.,EDGE,Duke,6-6,258,4.84,32.5,,123,,,Power 5,49,103,29,15,1,34 1/8,10,,,,,,
George Gumbs Jr.,EDGE,Florida,6-4,245,4.66,41,,121,7,,Power 5,46,98,21,11,2,33 5/8,9,,,,,,
Marvin Jones Jr.,EDGE,Oklahoma,6-5,245,4.69,,,,,,Power 5,49,62,16.5,8,2,33 1/8,9 1/4,,,,,,
Nyjalik Kelly,EDGE,Central Florida,6-5,256,4.88,37,,119,,,Power 5,40,118,22.5,12.5,5,35 1/8,10 3/8,,,,,,
Malachi Lawrence,EDGE,Central Florida,6-4,253,4.52,40,,130,,,Power 5,39,72,28,20,3,33 5/8,9 1/4,,,,,,
Max Llewellyn,EDGE,Iowa,6-6,258,4.81,32.5,,115,,,Power 5,43,64,20.5,14.5,3,32 1/4,9,,,,,,
Anthony Lucas,EDGE,USC,6-6,256,,,,,,,Power 5,39,73,8,3,1,33 1/2,10 1/4,,,,,,
Akheem Mesidor,EDGE,Miami,6-3,259,,,,,,,Power 5,65,208,52.5,35.5,5,32 1/8,10,,,,,,
Derrick Moore,EDGE,Michigan,6-4,255,,,,,,,Power 5,53,95,24.5,21,3,33 3/8,9 1/8,,,,,,
Trey Moore,EDGE,Texas,6-2,243,4.54,38.5,,120,,4.43,Group of 5,57,175,50,30.5,5,31 5/8,10 1/2,,,,,,
Labbeus Overton,EDGE,Alabama,6-3,274,4.87,,,,,,Power 5,49,132,12,7,1,33 1/4,10 5/8,,,,,,
Tomarrion Parker,EDGE,Clemson,6-4,263,4.68,34,,120,,,Power 5,39,126,41.5,21.5,6,33 1/8,9 1/2,,,,,,
Patrick Payton,EDGE,LSU,6-5,260,,,,,,,Power 5,53,144,36.5,17,3,33 1/2,10,,,,,,
Jack Pyburn,EDGE,LSU,6-4,258,,,,,,,Power 5,41,132,10.5,3,1,30 7/8,10,,,,,,
Arvell Reese,EDGE,Ohio St.,6-4,241,4.46,,,,,,Power 5,36,112,13.5,7,0,32 1/2,9 1/2,,,,,,
Mason Reiger,EDGE,Wisconsin,6-5,251,4.78,40,,125,,,Power 5,44,82,22.5,13,4,32 5/8,10 3/8,,,,,,
Tyreak Sapp,EDGE,Florida,6-2,273,,,28,,,,Power 5,49,125,21.5,10,4,32,9 1/2,,,,,,
R Mason Thomas,EDGE,Oklahoma,6-2,241,4.67,,,,,,Power 5,42,65,25.5,17,4,31 5/8,8 7/8,,,,,,
Nadame Tucker,EDGE,Western Michigan,6-2,247,4.73,33.5,,119,,,Group of 5,26,65,22.5,14.5,4,31 3/8,9,,,,,,
Wesley Williams,EDGE,Duke,6-4,256,4.89,35.5,,120,,,Power 5,41,131,29,11,1,31 7/8,9 1/2,,,,,,
Zion Young,EDGE,Missouri,6-6,262,,,,,,,Power 5,46,131,28.5,11.5,3,33,9 1/2,,,,,,
